lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
constituent,,<h3>Maqibsa</h3> 1] waanti tokko guutuu akka ta'u waan taasisu <h3>Cibra</h3> 1]miseensa filatamaa caasaa mootummaa keessa jiru,,,,,,,,
constitute,,"<h3>Maqibsa</h3> 1] kan of keessatti qabatu, kan qabu <h3>Gochima</h3> 1] hundeessuu, aangoo kennuu",,,,,,,,
constitution,,"<h3>Cibra</h3> 1] heera mootummaa, heera",,,,,,,,
constrain,,"<h3>Gochima</h3> 1] dirqisiisuu 2] daangessuu, hornoguu",,,,,,,,
constraint,,"<h3>Cibra</h3> 1] gufuu, daangaa 2] dhiibbaa cimaa, to'annoo dinniinaa 3] konfaleessa (amalaaf)",,,,,,,,
constrict,,"<h3>Gochima</h3> 1] waan tokko jabeessuu, Xinneessuu yookin dhiphisuu",,,,,,,,
constrictor,,<h3>Cibra</h3> 1] jawwee,,,,,,,,
construct,,"<h3>Gochima</h3> 1] ijaaruu, hojjechuu",,,,,,,,
construction,,<h3>Cibra</h3> 1] ijaarsa,,,,,,,,
constructive,,"<h3>Maqibsa</h3> 1] faayidaa qabeessa, ijaartuu (yaadaaf)",,,,,,,,
construe,,"<h3>Gochima</h3> 1] karaa adda ta'een hubachuu, hiikuu (jecha, hima, gochimaa fi kkf)",,,,,,,,
consul,,<h3>Cibra</h3> 1] qonsilaa (fedhii biyyasaa fi Kan uummatasaatii eeguuf nama biyya alaatti muudamee),,,,,,,,
consulate,,<h3>Cibra</h3> 1] waajjira qonsilaa,,,,,,,,
consult,,"<h3>Gochima</h3> 1] gorsa gaafachuu, mari'achuu",,,,,,,,
consultant,,<h3>Cibra</h3> 1] nama gorsa ogummaa kennu 2] doktarii aankii ol'aanaa qabu (hospitaalatti),,,,,,,,
consume,,"<h3>Gochima</h3> 1] fayyadamuu (qubeenya, yeroo fi kkf) 2] nyaachuu yookiin dhuguu",,,,,,,,
consumer,,<h3>Cibra</h3> 1] maamila 2] waa bitee faayidaa mataasaatiif kan oolchuu,,,,,,,,
consummate,,<h3>Maqibsa</h3> 1] ogeessa beekamaa hanqina/fafa tokkollee kan hin qabne <h3>Gochima</h3> 1] waanti tokko hanqina tokkollee utuu hin qabaatiin guutuu akka ta'u gochuu 2] saalquunnamti raaw'achuudhaan gaa'ila seeromaa gochuu,,,,,,,,
consumption,,"<h3>Cibra</h3> 1] itti fayyadamuu, nyaachuu (qabeenya, nyaata)",,,,,,,,
contact,,"<h3>Cibra</h3> 1] Walitti dhufeenya, qunnamtii <h3>Gochima</h3> 1] tuquu",,,,,,,,
Contact (ICT),,"<h3>Cibra</h3> 1] Qunnamtii, Tuquu, Qunnamtii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Contact Head (ICT),,"<h3>Gochima</h3> 1] Qaanxii Tuqii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Contact Us (ICT),,"<h3>Cibra</h3> 1] Nu Qunnami, (ICT, Jecha Kompiitaraa)",,,,,,,,
contagion,,<h3>Cibra</h3> 1] tutuqaadhaan dhukkuba nama irraa namatti darbuu danda'u 2] faffaca'uu babal'achuu dhukkubaa (wal tuttuquudhaan),,,,,,,,
contagious,,<h3>Maqibsa</h3> 1] tuttuqaadhaan dhukkuba namarraa namatti darbu,,,,,,,,
contain,,"<h3>Gochima</h3> 1] qabachuu, qabuu, of to'achu",,,,,,,,
container,,<h3>Cibra</h3> 1] meeshaa waa keessa kaa'an 2] Saanduqa Sibiilaa guddaa meeshaalee garaagaraa biyyaa biyyatti doonii fi makiinaadhaan ittiin deddeebisan,,,,,,,,
contaminate,,"<h3>Gochima</h3> 1] faaluu, summeessuu",,,,,,,,
contemplate,,"<h3>Gochima</h3> 1] waan tokko gad fageessanii qorachuu, irra deddebi'anii itti yaaduu 2] waan tokko suuta xiinxaluu",,,,,,,,
contemplation,,"<h3>Gochima</h3> 1] waan tokko suuta xiinxaluu, qorachuu 2]qalbii walitti sassaabbatanii waa yaaduu",,,,,,,,
contemporary,,<h3>Maqibsa</h3> 1] kan bara tokko waliin jiraatan (dhaloota bara tokkoo),,,,,,,,
contempt,,<h3>Cibra</h3> 1] tuffii,,,,,,,,
contend,,<h3>Cibra</h3> 1] dorgomaa yookiin rakkina injifachuuf itti qabsaa'uu 2] yaada kennuu,,,,,,,,
content,,"<h3>Cibra</h3> 1] qabiyyee, qabeentaa <h3>Maqibsa</h3> 1] waan argataniitti gammadanii naga'e jechuu, itti quufuu",,,,,,,,
Content Class (ICT),,"<h3>Cibra</h3> 1] Kutaa Qabiyyee, (ICT, Jecha Kompiitaraa)",,,,,,,,
Content Developers (ICT),,"<h3>Cibra</h3> 1] Oomishtoota Qabiyyee, (ICT, Jecha Kompiitaraa)",,,,,,,,
contention,,<h3>Cibra</h3> 1] morkii,,,,,,,,
Contents (ICT),,"<h3>Cibra</h3> 1] Qabeentoota, Qabeentoota, (ICT, Jecha Kompiitaraa)",,,,,,,,
contest,,"<h3>Cibra</h3> 1] dorgommi, heetoo",,,,,,,,
context,,"<h3>Cibra</h3> 1] hiika isaa ibsuuf jechoota jecha, gaalee, hima duraa fi booddee galan 2] haala waanti tokko keessatti uumame",,,,,,,,
Context (ICT),,"<h3>Cibra</h3> 1] Halqara, Halqara, (ICT, Jecha Kompiitaraa)",,,,,,,,
Context Switching (ICT),,"<h3>Cibra</h3> 1] Haala Waljifiinsa Sagantaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Context-Sensitive (ICT),,"<h3>Cibra</h3> 1] Suukana Haalqaraa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Context-Sensitive Help (ICT),,"<h3>Cibra</h3> 1] Gargaarsa Suukana Haalqaraa, (ICT, Jecha Kompiitaraa)",,,,,,,,
contextual,,<h3>Maqibsa</h3> 1] akka haala isaatti,,,,,,,,
contiguous,,"<h3>Maqibsa</h3> 1] bira, maddii, kan tuqu",,,,,,,,
continent,,<h3>Cibra</h3> 1] ardii,,,,,,,,
contingency,,<h3>Cibra</h3> 1] ta'uus ta'uu dhabuus waan danda'u,,,,,,,,
contingent,,<h3>Maqibsa</h3> 1] ta'uus ta'uu dhabuus waan danda'u (shakkisiisaa waan ta'e) 2] loltoota muraasa kan akka qaama humna waraanaa isa guddaa ta'aniif knnaman.,,,,,,,,
continual,,"<h3>Maqibsa</h3> 1] kan wal irraa hin cinne, hoggayyuu Waan ta'u",,,,,,,,
continuation,,<h3>Cibra</h3> 1] fufiinsa,,,,,,,,
continue,,<h3>Gochima</h3> 1] fufuu,,,,,,,,
Continue (ICT),,"<h3>Cibra</h3> 1] Fufuu, Fufuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
continuity,,"<h3>Cibra</h3> 1] fullaa'ina, fufinsa",,,,,,,,
continuous,,"<h3>Maqibsa</h3> 1] kan walirraa hin cinne, fufataa",,,,,,,,
Continuous (ICT),,"<h3>Cibra</h3> 1] Fufaa, Fufaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Continuous Paper (ICT),,"<h3>Cibra</h3> 1] Waraqaa Fufamaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Continuous-Tone Image (ICT),,"<h3>Cibra</h3> 1] Calaqqee Halluu Fufamaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Continuous-Tone Printer (ICT),,"<h3>Cibra</h3> 1] Maxxansa Halluu Fufamaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
continuum,,<h3>Cibra</h3> 1] wantoota wal fakkaatoo duraa fi aanteedhaan jiran,,,,,,,,
contort,,"<h3>Gochima</h3> 1] micciiruu, jallisuu",,,,,,,,
contortion,,"<h3>Cibra</h3> 1] dachaasuu, micciiruu (dhagna)",,,,,,,,
contour,,"<h3>Cibra</h3> 1] bifa, danaa",,,,,,,,
contraband,,<h3>Cibra</h3> 1] kontiroobaandii,,,,,,,,
contraception,,<h3>Cibra</h3> 1] ittismaata ulfummaa,,,,,,,,
contraceptive,,<h3>Cibra</h3> 1] qoricha ulfummaa ittisu,,,,,,,,
contract,,<h3>Cibra</h3> 1] kontiraata,,,,,,,,
contractor,,"<h3>Cibra</h3> 1] kontiraaktarii (nama gamoo, daandii fi kkf ijaaru)",,,,,,,,
contradict,,"<h3>Gochima</h3> 1] mormuu 2] jifachuu, faallaa ta'uu",,,,,,,,
contrary,,"<h3>Maqibsa</h3> 1] faallaa 2] rincicaa, gogaa",,,,,,,,
contrast,,<h3>Cibra</h3> 1] fuggina,,,,,,,,
Contrast (ICT),,"<h3>Cibra</h3> 1] Addaadoo, Addaadoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
contravene,,<h3>Gochima</h3> 1] faallaa seeraa fi wantoota fafakkaatanii deemuu,,,,,,,,
contribute,,"<h3>Gochima</h3> 1] kennuu, buusuu (kees. maallaqa) 2] hirmaannaadhaaf kennuu (barreeffama gaazexaadhaaf) 3] waanti tokko akka ta'u gargaaruu",,,,,,,,
contribution,,"<h3>Cibra</h3> 1] waajii, buusii, gumaacha, hirmaannaa(Waan akka barreeffamaa fi kkf kennuudhaan)",,,,,,,,
contrite,,<h3>Maqibsa</h3> 1] baay'ee gaabbuu (dogoggora hojjetaniif),,,,,,,,
contrivance,,<h3>Cibra</h3> 1] maashinii tajaajila garagaraa akka kennuuf tolfame 2] dandeettii waa hojjechuu 3] karoora (gowwoomsuudhaaf),,,,,,,,
contrive,,<h3>Gochima</h3> 1] karoora gaarii ta'e baasuu (nama gowwoomsuuf) 2] rakkoon jiraatullee waan tokko hojjechuuf yaalii gochuu,,,,,,,,
control,,"<h3>Gochima</h3> 1] abboommachuu, to'achuu <h3>Cibra</h3> 1] to'annaa",,,,,,,,
Control (ICT),,"<h3>Cibra</h3> 1] To’achuu, Too’annaa, Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Control Character (ICT),,"<h3>Cibra</h3> 1] Arfii Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Control Code (ICT),,"<h3>Cibra</h3> 1] Lakkaddaa Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Control Menu (ICT),,"<h3>Cibra</h3> 1] Baafata Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Control Panel (ICT),,"<h3>Cibra</h3> 1] Qaama Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Control Unit (ICT),,"<h3>Cibra</h3> 1] Kutaa Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Controlling Process (ICT),,"<h3>Cibra</h3> 1] Hojii Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Controlling Terminal (ICT),,"<h3>Cibra</h3> 1] Buufata Too’annaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Controls (ICT),,"<h3>Maqibsa</h3> 1] Too’atamtoota, Too’atamtoota, (ICT, Jecha Kompiitaraa)",,,,,,,,
controversial,,"<h3>Maqibsa</h3> 1] falmisiisaa, falmisiistuu",,,,,,,,
controversy,,<h3>Cibra</h3> 1] falmii (waan waliigaluu dhabanirratti),,,,,,,,
controvert,,<h3>Gochima</h3> 1] dhugaa waan tokkoo ganuu,,,,,,,,
contusion,,"<h3>Cibra</h3> 1] dirmamnmuu, godannnisa",,,,,,,,
conundrum,,<h3>Cibra</h3> 1] hiphoo 2] rakkoo furmaata arguufiin baay'isee rakkisaa ta'e,,,,,,,,
conurbation,,<h3>Cibra</h3> 1] lafa bal'aa magaalaaleen garaagaraa wal qabachuu isaaniitiin uumame,,,,,,,,
convalesce,,"<h3>Gochima</h3> 1] dandamachuu, bayyanachuu, bayyaanachuu",,,,,,,,
convalescent,,"<h3>Cibra</h3> 1] dandamataa, dandamattuu, bayyanataa, bayyanattuu",,,,,,,,
convection,,<h3>Cibra</h3> 1] naannee o'aa (waan dhangala'aa fi gaasii keessa),,,,,,,,
convene,,<h3>Gochima</h3> 1] walga'idhaaf waamuu 2] walga'iidhaaf walitti qabamuu,,,,,,,,
convenience,,<h3>Cibra</h3> 1] mijaa'ummaa 2] haala yookiin meeshaa mijaa'aa/tolaa,,,,,,,,
convenient,,"<h3>Maqibsa</h3> 1] mijaa'aa, tolaa",,,,,,,,
convent,,"<h3>Cibra</h3> 1] bakka moloksoonni keessa jiraatan, gadaamii (kan dubartootaa)",,,,,,,,
convention,,<h3>Cibra</h3> 1] waliigaltee,,,,,,,,
Convention (ICT),,"<h3>Cibra</h3> 1] Waliigala, Waliigala, (ICT, Jecha Kompiitaraa)",,,,,,,,
conventional,,<h3>Maqibsa</h3> 1] waan hawaasa biratti fudhatama qabu kan kabaju 2] waan barame yookiin kan aadaa hordofu 3] nuklarii kan hin taane (meeshaa waraanaatiif),,,,,,,,
Conventional (ICT),,"<h3>Cibra</h3> 1] Waliigaltee, Waliigaltee, (ICT, Jecha Kompiitaraa)",,,,,,,,
converge,,"<h3>Gochima</h3> 1] bakka tokkotti wal arguu, quunnamu 2] wal fakkaachuu yookiin tokkicha ta'u",,,,,,,,
conversant,,"<h3>Maqibsa</h3> 1] beekaa, muuxannoo qabu",,,,,,,,
conversation,,<h3>Cibra</h3> 1] haasaa,,,,,,,,
converse,,"<h3>Gochima</h3> 1] haasa' uu, dubbachuu, qeequu",,,,,,,,
conversion,,"<h3>Cibra</h3> 1] jijjiiruu, geeddaruu (amantii, maallaqa)",,,,,,,,
Conversion (ICT),,"<h3>Gochima/Cibra</h3> 1] Jijjiirraa, Jijjiiruu, Jijjiirraa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Conversion Table (ICT),,"<h3>Cibra</h3> 1] Gabatee Jijjirraa, (ICT, Jecha Kompiitaraa)",,,,,,,,
convert,,<h3>Gochima</h3> 1] jijjiiruu 2] amantii geeddaruu <h3>Cibra</h3> 1] nama amantii isaa jijjiire,,,,,,,,
Convert (ICT),,"<h3>Gochima</h3> 1] Jijjiiri, Jijjiiri, (ICT, Jecha Kompiitaraa)",,,,,,,,
Converter (ICT),,"<h3>Maqibsa</h3> 1] Jijjiiraa, Jijjiiraa, (ICT, Jecha Kompiitaraa)",,,,,,,,
convertible,,<h3>Maqibsa</h3> 1] jijjiiramuu kan danda'u,,,,,,,,
convex,,<h3>Gochima</h3> 1] gara alaatti kan golbate,,,,,,,,
convex mirror,,<h3>Cibra</h3> 1] daawwitii goophaa,,,,,,,,
convey,,"<h3>Gochima</h3> 1] geejibuu (meeshaa, namaa fi wantoota fafakkaatan) tamsaasuu (yaada) 2] mirga qabeenya seeraan naannessuu (abbaa qebeenyaatti)",,,,,,,,
convict,,"<h3>Cibra</h3> 1] yakkamaa, yakkamtuu",,,,,,,,
conviction,,<h3>Cibra</h3> 1] balleessaan nama irratti argamuu (fuula seeraatti) 2] amantii jabaa,,,,,,,,
convince,,<h3>Gochima</h3> 1] amansiisuu,,,,,,,,
convincing,,"<h3>Cibra</h3> 1] amansiisaa, amansiistuu",,,,,,,,
convivial,,<h3>Maqibsa</h3> 1] nama xabaa fi kolfa jaalatu 2] gammachiisaa,,,,,,,,
convocation,,<h3>Cibra</h3> 1] yaa'ii (mana sagadaa fi univarsitiif kkf),,,,,,,,
convoluted,,"<h3>Maqibsa</h3> 1] hordofuuf baayisee walxaxaa fi rakkisaa waan ta'e 2] xanamaa, Jajallaa, korboo",,,,,,,,
convoy,,<h3>Cibra</h3> 1] makiinaa yookiin doonii wal faana yaa'an (kees. loltootaan eegumsi kan godhamuf),,,,,,,,
convulse,,"<h3>Gochima</h3> 1] ollachuu, rom'uu (ta'annaadhaa ala)",,,,,,,,
convulsion,,"<h3>Cibra</h3> 1] rom'uu, hollachuu (sababa dhukkubaa fi kkf) 2] jeequmsa cimaa",,,,,,,,
coodle,,"<h3>Gochima</h3> 1] soosisuu, qanansiisuu",,,,,,,,
cook,,<h3>Gochima</h3> 1] affeeluu. bilcheessuu,,,,,,,,
cooker,,"<h3>Cibra</h3> 1] shaawulaa, saamaawaaraa, gemmii",,,,,,,,
cookery,,<h3>Cibra</h3> 1] ogummaa ittoo tolchuu,,,,,,,,
cookie,,<h3>Cibra</h3> 1] biskutii mi'ooftuu,,,,,,,,
Cookie (ICT),,"<h3>Cibra</h3> 1] Kuukii, Kuukii, (ICT, Jecha Kompiitaraa)",,,,,,,,
cooky,,<h3>Cibra</h3> 1] biskutii mt'ooftuu,,,,,,,,
cool,,"<h3>Maqibsa</h3> 1] qabbanaa'aa, qorraa 2 cal-jedheessa, cal-jedheettii 3] baay'ee gaarii <h3>Cibra</h3> 1] qabbana, diilalla",,,,,,,,
coolie,,<h3>Cibra</h3> 1] kuulii,,,,,,,,
coop,,<h3>Cibra</h3> 1] man'ee handaaqqoo/lukkuu,,,,,,,,
cooperate,,"<h3>Gochima</h3> 1] wal tumsuu, wal gargaaruu",,,,,,,,
cooperation,,"<h3>Cibra</h3> 1] Walta'iinsa, gamtaa, tokkumma, gurmuu",,,,,,,,
coordinate,,<h3>Gochima</h3> 1] qindeessuu,,,,,,,,
Coordinate (ICT),,"<h3>Cibra</h3> 1] Walgita, Walgita, (ICT, Jecha Kompiitaraa)",,,,,,,,
coordinated,,<h3>Xumibsa</h3> 1] qindeeffamaa,,,,,,,,
coordination,,"<h3>Cibra</h3> 1] qindoommii, qindoomina",,,,,,,,
coordinator,,"<h3>Cibra</h3> 1] qindeessaa, qindeessituu",,,,,,,,
cop,,"<h3>Cibra</h3> 1] qondaala poolisii <h3>Gochima</h3> 1] fudhachuu 2] qabuu, to'annaa jala galchuu (nama balleessaa hojjete)",,,,,,,,
cope,,"<h3>Gochima</h3> 1] waan rakkisaa ta'e dura dhaabbachuu, danda'uu. <h3>Cibra</h3> 1] wayita qophii addaa huccuu dheeraa qeesonni uffatan.",,,,,,,,
Copenhagen,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Deenmaark,,,,,,,,
copious,,"<h3>Maqibsa</h3> 1] wacaqa, baay'ee, hedduu",,,,,,,,
copious,,"<h3>Maqibsa</h3> 1] wacaqa, tuullaa, hedduu, baay'ee",,,,,,,,
copper,,"<h3>Cibra</h3> 1] sibiila dimaa, girjaa",,,,,,,,
Coprocessor (ICT),,"<h3>Cibra</h3> 1] Waliin Dalagduu, (ICT, Jecha Kompiitaraa)",,,,,,,,
copulate,,"<h3>Gochima</h3> 1] Saluu, kaachuu, raawuu",,,,,,,,
copulation,,"<h3>Cibra</h3> 1] salma, kaacha",,,,,,,,
copy,,"<h3>Gochima</h3> 1] guragalchuu, waraabuu (katabbii, fiilmii) <h3>Cibra</h3> 1] garagalcha, jaltuu",,,,,,,,
Copy (ICT),,"<h3>Cibra</h3> 1] Garagalcha, Garagalcha, (ICT, Jecha Kompiitaraa)",,,,,,,,
Copy Fitting (ICT),,"<h3>Cibra</h3> 1] Waltaasisa Jalteessa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Copy Protection (ICT),,"<h3>Cibra</h3> 1] Hayyisa Jalteessaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
copyright,,"<h3>Cibra</h3> 1] mirga abbummaa (kitaaba, filimii, sirbaa fi kkf kan dhuunfaa ofitti qopheessan maxxansuuf, raabasuu fi akkasumas gurguruuf)",,,,,,,,
Copyright (ICT),,"<h3>Cibra</h3> 1] Mirga Abbummaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Copyright Notice (ICT),,"<h3>Cibra</h3> 1] Hubachiisa Mirga Maxxansaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Copyright Symbol (ICT),,"<h3>Cibra</h3> 1] Mallattoo Mirga Maxxansaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
coquette,,<h3>Cibra</h3> 1] kolomsituu (dubartii),,,,,,,,
coral,,<h3>Cibra</h3> 1] elellaa,,,,,,,,
cord,,"<h3>Cibra</h3> 1] funyoo, haada (qalloo)",,,,,,,,
cordial,,"<h3>Maqibsa</h3> 1] gammachisaa, hiriyummaa iratti kan hundaa'e <h3>Cibra</h3> 1] gosa dhugaatii mi'aawaa alkoolii hin qabnee",,,,,,,,
cordite,,"<h3>Cibra</h3> 1] dhuka'aa rasaasa, boombii fi kkf tolchuuf oolu",,,,,,,,
cordon,,<h3>Cibra</h3> 1] poolisoota wal qabatanii waa marsanii eegan 2] muka dameenisaa cufti irraa ciramee soomayyoonisaa qofa akka guddatu taassifamu,,,,,,,,
core,,"<h3>Cibra</h3> 1] bakka wiirtuu, miciree, bakka barbachisaa kan waan tokkoo",,,,,,,,
Core (ICT),,"<h3>Cibra</h3> 1] Keessoo, Killayyaa, Killayyaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
coriander,,<h3>Cibra</h3> 1] dimbilaala,,,,,,,,
cork,,"<h3>Cibra</h3> 1] cuqqaallaa, buushii 2] hophoo/solloqqee mukaa naannoo galaana meediteraaniyaaniitti biqilu <h3>Gochima</h3> 1] cuqqaaluu, tinfuu",,,,,,,,
corkscrew,,<h3>Cibra</h3> 1] meeshaa buushii ittiin buqqisan,,,,,,,,
corm,,"<h3>Cibra</h3> 1] koormii, haadha quufoo",,,,,,,,
corn,,"<h3>Cibra</h3> 1] boqqolloo, bondogee",,,,,,,,
corned beef,,<h3>Cibra</h3> 1] foon ashaboodhaan sukkuumame,,,,,,,,
corner,,"<h3>Cibra</h3> 1] cabsaa, golee, roga",,,,,,,,
Corner (ICT),,"<h3>Cibra</h3> 1] Suuqaa, Xiyyoo, Xiyyoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
cornet,,<h3>Cibra</h3> 1] gosa meeshaa muuziiqaa,,,,,,,,
cornice,,<h3>Gochima</h3> 1] dizzaayinii bareedaa faayaa qabu kan xiyyoo keenyan manaa irratti tolfamu,,,,,,,,
corollary,,<h3>Cibra</h3> 1] taatee qabata qabu,,,,,,,,
corona,,"<h3>Cibra</h3> 1] wayita aduu fi ji'i wal irra bu'an ifa geengoo fakkaatee mul'atu 2] faaya qara qara gonfoo irratti argamu. 3] vaayiresii gonfoo waan fakkaatu qabu, koronaa",,,,,,,,
Corona Wire (ICT),,"<h3>Cibra</h3> 1] Haada Koronaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
coronary,,<h3>Maqibsa</h3> 1] kan onnee,,,,,,,,
coronation,,<h3>Cibra</h3> 1] mooteffannoo,,,,,,,,
coroner,,<h3>Cibra</h3> 1] aangawaa akkaataa du'aa shakkisiisaa ta'e qoratu,,,,,,,,
coronet,,<h3>Cibra</h3> 1] gonfoo Xinnoo 2] faayaa abaaboo geengoo Kan mataa irra kaa'atan,,,,,,,,
corporal (deputy),,<h3>Cibra</h3> 1] aankurnaala,,,,,,,,
Corporate (ICT),,"<h3>Cibra</h3> 1] Xindoo, Xindoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
corporation,,<h3>Cibra</h3> 1] korporeeshinii,,,,,,,,
corporeal,,"<h3>Maqibsa</h3> 1] qaamaaf, Kan qaamaa 2] tuquun kan danda'amu, qabatamaan kan jiru",,,,,,,,
corps,,<h3>Cibra</h3> 1] jaallee,,,,,,,,
corpse,,<h3>Cibra</h3> 1] reeffa,,,,,,,,
corpulence,,"<h3>Cibra</h3> 1] furdina, yabbina, gobbina",,,,,,,,
corpulent,,"<h3>Maqibsa</h3> 1] harsama, wadala",,,,,,,,
corpus,,<h3>Cibra</h3> 1] kuusaa afoolaa fi katabbiilee garaagaraa,,,,,,,,
corpuscle,,<h3>Cibra</h3> 1] seelii adiin yookin diimaan kan dhiiga keessa jiru,,,,,,,,
corral,,<h3>Cibra</h3> 1] bakka dheedichaa (daangeffamaa),,,,,,,,
correct,,"<h3>Maqibsa</h3> 1] sirrii, dogoggora kan hin qabne <h3>Gochima</h3> 1] sirreessuu",,,,,,,,
correction,,<h3>Cibra</h3> 1] sirreeffama,,,,,,,,
Correction (ICT),,"<h3>Cibra</h3> 1] Sirreessa, Sirreessa, (ICT, Jecha Kompiitaraa)",,,,,,,,
correctly,,"<h3>Xumibsa</h3> 1] sirriitti, dogoggora malee",,,,,,,,
correctness,,"<h3>Cibra</h3> 1] sirrummaa, seera kabajuu",,,,,,,,
correlate,,"<h3>Gochima</h3> 1] walitti fiduu, michoomsuu",,,,,,,,
correspond,,"<h3>Gochima</h3> 1] 1, wal fakkaachuu, wal gituu 2] xalayaa waliif barreessuu",,,,,,,,
correspondent,,<h3>Cibra</h3> 1] nama gaazexaa yookin buufata reediyoo fi kk fakkaatanif gabaasa kennu (biyya alaa taa'ee) 2] nama xalayaa nama kan biraatti barreessu,,,,,,,,
corridor,,<h3>Cibra</h3> 1] koriidarii,,,,,,,,
corroborate,,"<h3>Gochima</h3> 1] deeggeruu, utubuu, mirkaneessuu",,,,,,,,
corrode,,<h3>Gochima</h3> 1] nyaatamuu (sibiilaaf),,,,,,,,
corrosion,,<h3>Gochima</h3> 1] nyaatamuu (sibiilaaf),,,,,,,,
corrugated,,<h3>Maqibsa</h3> 1] danaa bu'aa ba'ii ta'e kan qabu,,,,,,,,
corrugated iron,,<h3>Cibra</h3> 1] qorqorroo manaa,,,,,,,,
corrupt,,<h3>Maqibsa</h3> 1] malaammaltumman hojechuuf kan fedhii qabu 2] aadaa baramerraa kan maqe (kes. gama saalquunnamtiitiin),,,,,,,,
Corrupt (ICT),,"<h3>Cibra</h3> 1] Faalama, Faalama, (ICT, Jecha Kompiitaraa)",,,,,,,,
Corrupt Data (ICT),,"<h3>Cibra</h3> 1] Deetaa Faalamaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
corruption,,"<h3>Cibra</h3> 1] malaammaltummaa, xiinxanii, gushmaaxa",,,,,,,,
corsage,,<h3>Cibra</h3> 1] gumii abaaboo kan dubartiin naannoo gatiittii isheerra keessu (faayaadhaaf),,,,,,,,
corset,,<h3>Cibra</h3> 1] wayyaa dhiphoo naqa qaamaa sarreessuuf wayyaa jalaan uffatamu,,,,,,,,
cortex,,"<h3>Cibra</h3> 1] qaamuu, koortceksii, solloqqee 2] gogaa sammuu haguugee jiru",,,,,,,,
cos,,<h3>Cibra</h3> 1] gosa salaaxaa <h3>Walqabsiiftuu</h3> 1] sababiinsaa,,,,,,,,
cosine,,<h3>Cibra</h3> 1] kosaayinii (herrega),,,,,,,,
cosmetic,,"<h3>Cibra</h3> 1] dibata shashaqannaa, kosmeetiksii <h3>Maqibsa</h3> 1] bu'uura isaa utuu hin ta'iin irruma keessa isaa/fuula isaa kophaa bareechuuf waan yaadame",,,,,,,,
cosmic,,<h3>Maqibsa</h3> 1] kan kosmikii 2] baay'ee guddaa fi barbaachisaa,,,,,,,,
cosmos,,"<h3>Cibra</h3> 1] kosmosii, addunyaa agarsiisaa",,,,,,,,
cosset,,"<h3>Gochima</h3> 1] miidhaa irraa eeguu, kunuunsuu",,,,,,,,
cost,,<h3>Cibra</h3> 1] gatii,,,,,,,,
Costa Rica,,"<h3>Maqqofee</h3> 1] Coostaarikaa, maqaa biyyaati.",,,,,,,,
costly,,"<h3>Maqibsa</h3> 1] mi'aa, qaalii",,,,,,,,
costume,,<h3>Cibra</h3> 1] uffata,,,,,,,,
cosy,,"<h3>Maqibsa</h3> 1] Xinnoo ta'uu isaa irraa kan ka'e o'aa fi mijaa'aa kan ta'e (kutaa, barcumaa fi kkt)",,,,,,,,
cot,,<h3>Cibra</h3> 1] Siree daaimaa,,,,,,,,
cottage,,"<h3>Cibra</h3> 1] molaalee, godoo, wexxee, gasee",,,,,,,,
cotter pin,,<h3>Cibra</h3> 1] qiicii,,,,,,,,
cotton,,<h3>Cibra</h3> 1] jirbii,,,,,,,,
cotton seed,,<h3>Cibra</h3> 1] gungurii (ija jirbii),,,,,,,,
couater-insurgency,,<h3>Cibra</h3> 1] gartuulee biyya tokko humnaan to'annaa isaanii jala galchuu barbaadan irratti tarkaanfii fudhatame,,,,,,,,
couch,,<h3>Cibra</h3> 1] Siree gabaabduu,,,,,,,,
